Source,Target,Relation_Type
Q54173,Q192314,P361-P527
Q54173,Q192314,P127-P1830
Q54173,Q333718,P127-P1830
Q54173,Q328840,P361-P527
Q54173,Q333718,P361-P527
Q54173,Q907311,P127-P1830
Q54173,Q483551,P361-P527
Q54173,Q19900,P127-P1830
Q54173,Q20800404,P127-P1830
Q54173,Q3884,P127-P1830
Q54173,Q380,P361-P527
Q48872,Q380,P361-P527
Q54173,Q312,P127-P1830
Q54173,Q312,P31-P5869
Q48872,Q312,P31-P5869
Q54173,Q312,P361-P527
Q54173,Q182477,P127-P1830
Q48872,Q2283,P361-P527
Q54173,Q2283,P361-P527
Q54173,Q2283,P361-P527
Q54173,Q2283,P127-P1830
Q128896,Q484930,P169-P463
Q128896,Q484930,P3320-P463
Q128896,Q11463,P463-P527
Q128896,Q1159256,P127-P1830
Q128896,Q663596,P127-P1830
Q128896,Q338825,P361-P527
Q128896,Q193412,P3320-P108
Q128896,Q467752,P127-P1830
Q128896,Q193412,P169-P108
Q128896,Q248,P127-P1830
Q128896,Q248,P463-P112
Q128896,Q248,P463-P527
Q128896,Q219635,P127-P127
Q128896,Q219635,P127-P127
Q128896,Q219508,P127-P1830
Q128896,Q1318848,P3320-P108
Q128896,Q334800,P127-P1830
Q128896,Q1197548,P3320-P108
Q128896,Q38076,P361-P527
Q128896,Q38076,P31-P5869
Q128896,Q7414,P361-P527
Q128896,Q7414,P127-P1830
Q128896,Q194360,P127-P1830
Q128896,Q334204,P361-P527
Q128896,Q173395,P169-P463
Q128896,Q173395,P463-P112
Q128896,Q173395,P463-P527
Q128896,Q173395,P3320-P463
Q128896,Q744149,P127-P1830
Q128896,Q37156,P127-P1830
Q128896,Q37156,P463-P527
Q128896,Q37156,P463-P527
Q128896,Q3295867,P127-P1830
Q128896,Q212405,P127-P1830
Q128896,Q333718,P127-P1830
Q128896,Q907311,P127-P1830
Q128896,Q907311,P463-P112
Q128896,Q907311,P463-P527
Q128896,Q156238,P127-P1830
Q128896,Q192314,P127-P1830
Q128896,Q19900,P127-P1830
Q128896,Q20800404,P127-P1830
Q128896,Q555925,P463-P527
Q128896,Q3884,P127-P1830
Q128896,Q3884,P463-P112
Q128896,Q3884,P463-P527
Q128896,Q312,P127-P1830
Q128896,Q312,P31-P5869
Q128896,Q312,P463-P527
Q173395,Q483915,P361-P527
Q128896,Q2283,P361-P527
Q128896,Q2283,P127-P1830
Q128896,Q2283,P463-P112
Q128896,Q2283,P463-P527
Q128896,Q380,P361-P527
Q128896,Q380,P361-P527
Q128896,Q380,P463-P527
Q128896,Q182477,P127-P1830
Q128896,Q182477,P463-P527
Q156238,Q483915,P361-P527
Q173395,Q1113804,P361-P527
Q156238,Q214763,P361-P527
Q173395,Q484930,P3320-P463
Q156238,Q898208,P361-P527
Q173395,Q898208,P361-P527
Q173395,Q898208,P169-P108
Q156238,Q894585,P3320-P463
Q173395,Q11463,P361-P527
Q173395,Q11463,P463-P527
Q156238,Q338825,P361-P527
Q173395,Q1159256,P127-P1830
Q173395,Q663596,P127-P1830
Q156238,Q1159256,P127-P1830
Q156238,Q663596,P127-P1830
Q173395,Q467752,P127-P1830
Q156238,Q470517,P361-P527
Q173395,Q338825,P361-P527
Q173395,Q193412,P3320-P108
Q173395,Q470517,P361-P527
Q156238,Q66,P361-P527
Q173395,Q467752,P361-P527
Q156238,Q467752,P361-P527
Q156238,Q467752,P127-P1830
Q173395,Q66,P361-P527
Q173395,Q248,P361-P527
Q173395,Q248,P463-P112
Q173395,Q248,P463-P527
Q156238,Q248,P361-P527
Q156238,Q248,P127-P1830
Q173395,Q248,P127-P1830
Q173395,Q219635,P127-P127
Q173395,Q219508,P127-P1830
Q156238,Q219635,P127-P127
Q173395,Q219635,P127-P127
Q173395,Q544847,P361-P527
Q156238,Q7414,P361-P527
Q156238,Q7414,P361-P527
Q156238,Q7414,P127-P1830
Q173395,Q7414,P361-P527
Q173395,Q7414,P361-P527
Q156238,Q219508,P127-P1830
Q173395,Q7414,P127-P1830
Q156238,Q334800,P127-P1830
Q173395,Q38076,P361-P527
Q173395,Q38076,P361-P527
Q173395,Q334800,P127-P1830
Q173395,Q334800,P361-P527
Q173395,Q247489,P361-P527
Q156238,Q38076,P361-P527
Q156238,Q38076,P361-P527
Q156238,Q38076,P31-P5869
Q156238,Q941127,P361-P527
Q156238,Q194360,P361-P527
Q156238,Q194360,P127-P1830
Q156238,Q194360,P3320-P463
Q156238,Q247489,P3320-P108
Q173395,Q38076,P31-P5869
Q173395,Q194360,P127-P1830
Q173395,Q459965,P361-P527
Q156238,Q193326,P361-P527
Q173395,Q194360,P361-P527
Q173395,Q941127,P361-P527
Q156238,Q247489,P361-P527
Q156238,Q334204,P361-P527
Q156238,Q744149,P127-P1830
Q173395,Q193326,P361-P527
Q156238,Q459965,P361-P527
Q173395,Q334204,P361-P527
Q173395,Q37156,P127-P1830
Q156238,Q3295867,P361-P527
Q156238,Q3295867,P127-P1830
Q173395,Q3295867,P127-P1830
Q156238,Q37156,P361-P527
Q156238,Q37156,P127-P1830
Q173395,Q744149,P127-P1830
Q173395,Q37156,P361-P527
Q173395,Q37156,P463-P527
Q173395,Q37156,P1037-P108
Q173395,Q37156,P463-P527
Q173395,Q3295867,P361-P527
Q173395,Q3511885,P361-P527
Q156238,Q319642,P361-P527
Q156238,Q319642,P361-P527
Q156238,Q173395,P361-P527
Q156238,Q2103926,P361-P527
Q173395,Q2103926,P361-P527
Q173395,Q319642,P361-P527
Q173395,Q128896,P463-P527
Q173395,Q212405,P127-P1830
Q173395,Q128896,P3320-P108
Q173395,Q212405,P361-P527
Q156238,Q212405,P361-P527
Q156238,Q212405,P127-P1830
Q173395,Q864407,P361-P527
Q156238,Q864407,P361-P527
Q173395,Q333718,P361-P527
Q173395,Q156238,P127-P1830
Q156238,Q333718,P361-P527
Q156238,Q333718,P127-P1830
Q173395,Q333718,P127-P1830
Q156238,Q19900,P127-P1830
Q156238,Q328840,P361-P527
Q156238,Q483551,P361-P527
Q173395,Q715583,P361-P527
Q173395,Q907311,P463-P112
Q173395,Q907311,P463-P527
Q173395,Q907311,P127-P1830
Q156238,Q907311,P127-P1830
Q173395,Q192314,P127-P1830
Q173395,Q483551,P361-P527
Q173395,Q192314,P361-P527
Q156238,Q192314,P361-P527
Q156238,Q192314,P127-P1830
Q173395,Q328840,P361-P527
Q173395,Q20800404,P127-P1830
Q173395,Q19900,P127-P1830
Q173395,Q20800404,P361-P527
Q173395,Q555925,P361-P527
Q173395,Q555925,P463-P527
Q156238,Q380,P361-P527
Q156238,Q380,P361-P527
Q156238,Q20800404,P127-P1830
Q173395,Q182477,P361-P527
Q173395,Q182477,P463-P527
Q173395,Q3884,P361-P527
Q173395,Q3884,P463-P112
Q173395,Q3884,P463-P527
Q173395,Q312,P361-P527
Q173395,Q312,P361-P527
Q173395,Q312,P463-P527
Q173395,Q478214,P361-P527
Q173395,Q380,P361-P527
Q173395,Q380,P361-P527
Q173395,Q380,P361-P527
Q173395,Q380,P463-P527
Q173395,Q3884,P127-P1830
Q173395,Q312,P127-P1830
Q173395,Q312,P31-P5869
Q156238,Q312,P361-P527
Q156238,Q312,P127-P1830
Q156238,Q312,P31-P5869
Q173395,Q2283,P127-P1830
Q156238,Q182477,P127-P1830
Q156238,Q3884,P127-P1830
Q156238,Q2283,P361-P527
Q156238,Q2283,P361-P527
Q156238,Q2283,P127-P1830
Q173395,Q2283,P361-P527
Q173395,Q2283,P361-P527
Q173395,Q2283,P361-P527
Q173395,Q2283,P463-P112
Q173395,Q2283,P463-P527
Q173395,Q182477,P127-P1830
Q182477,Q11463,P463-P527
Q192314,Q1159256,P127-P1830
Q192314,Q338825,P361-P527
Q182477,Q1159256,P127-P1830
Q192314,Q663596,P127-P1830
Q182477,Q338825,P361-P527
Q182477,Q663596,P127-P1830
Q182477,Q467752,P127-P1830
Q182477,Q248,P127-P1830
Q182477,Q248,P463-P112
Q182477,Q248,P463-P527
Q192314,Q467752,P127-P1830
Q182477,Q219508,P127-P1830
Q192314,Q248,P127-P1830
Q182477,Q219635,P127-P127
Q182477,Q219635,P127-P127
Q192314,Q219635,P127-P127
Q192314,Q219635,P127-P127
Q192314,Q219508,P127-P1830
Q192314,Q7414,P127-P1830
Q182477,Q334800,P127-P1830
Q192314,Q7414,P361-P527
Q182477,Q7414,P361-P527
Q182477,Q7414,P127-P1830
Q182477,Q38076,P361-P527
Q182477,Q38076,P31-P5869
Q182477,Q194360,P127-P1830
Q192314,Q334800,P127-P1830
Q192314,Q194360,P3320-P108
Q192314,Q38076,P31-P5869
Q192314,Q38076,P361-P527
Q192314,Q194360,P127-P1830
Q192314,Q194360,P169-P108
Q192314,Q306764,P3320-P463
Q192314,Q334204,P361-P527
Q192314,Q193326,P3320-P108
Q192314,Q193326,P169-P108
Q192314,Q744149,P127-P1830
Q182477,Q37156,P127-P1830
Q182477,Q37156,P463-P527
Q182477,Q37156,P463-P112
Q182477,Q37156,P463-P527
Q182477,Q334204,P361-P527
Q182477,Q744149,P127-P1830
Q182477,Q3295867,P127-P1830
Q192314,Q37156,P127-P1830
Q182477,Q173395,P463-P112
Q182477,Q173395,P463-P527
Q192314,Q37156,P3320-P108
Q192314,Q37156,P3320-P1416
Q192314,Q37156,P3320-P108
Q192314,Q3295867,P127-P1830
Q182477,Q212405,P127-P1830
Q182477,Q128896,P463-P527
Q192314,Q212405,P127-P1830
Q192314,Q156238,P127-P1830
Q182477,Q333718,P127-P1830
Q182477,Q192314,P127-P1830
Q192314,Q907311,P127-P1830
Q192314,Q333718,P127-P1830
Q182477,Q156238,P127-P1830
Q192314,Q333718,P3320-P108
Q192314,Q19900,P127-P1830
Q182477,Q907311,P127-P1830
Q182477,Q907311,P463-P112
Q182477,Q907311,P463-P527
Q192314,Q20800404,P127-P1830
Q192314,Q217583,P3320-P108
Q182477,Q19900,P127-P1830
Q192314,Q380,P361-P527
Q192314,Q380,P361-P527
Q182477,Q20800404,P127-P1830
Q182477,Q380,P361-P527
Q182477,Q380,P361-P527
Q182477,Q380,P463-P527
Q182477,Q555925,P463-P527
Q182477,Q2283,P361-P527
Q182477,Q2283,P463-P112
Q182477,Q2283,P463-P527
Q182477,Q3884,P463-P112
Q182477,Q3884,P463-P527
Q182477,Q312,P127-P1830
Q182477,Q312,P31-P5869
Q182477,Q312,P463-P527
Q192314,Q2283,P127-P1830
Q192314,Q3884,P127-P1830
Q192314,Q312,P127-P1830
Q192314,Q312,P31-P5869
Q182477,Q2283,P127-P1830
Q192314,Q3884,P3320-P108
Q182477,Q3884,P127-P1830
Q192314,Q2283,P361-P527
Q192314,Q182477,P127-P1830
Q193326,Q483915,P361-P527
Q193412,Q1113804,P361-P527
Q193326,Q898208,P361-P527
Q193412,Q1159256,P127-P1830
Q193326,Q1159256,P127-P1830
Q193412,Q11463,P361-P527
Q193412,Q663596,P127-P1830
Q193412,Q338825,P361-P527
Q193326,Q338825,P361-P527
Q193326,Q663596,P127-P1830
Q193326,Q66,P361-P527
Q193326,Q470517,P361-P527
Q193412,Q467752,P127-P1830
Q193326,Q467752,P361-P527
Q193326,Q467752,P127-P1830
Q193326,Q248,P361-P527
Q193326,Q248,P127-P1830
Q193412,Q544847,P361-P527
Q193412,Q248,P127-P1830
Q193326,Q219508,P127-P1830
Q193412,Q219635,P127-P127
Q193412,Q219635,P127-P127
Q193326,Q219635,P127-P127
Q193326,Q219635,P127-P127
Q193412,Q219508,P127-P1830
Q193326,Q219635,P1830-P127
Q193412,Q7414,P361-P527
Q193326,Q334800,P127-P1830
Q193412,Q334800,P361-P527
Q193412,Q334800,P127-P1830
Q193326,Q7414,P361-P527
Q193326,Q7414,P361-P527
Q193326,Q7414,P127-P1830
Q193326,Q194360,P361-P527
Q193326,Q194360,P127-P1830
Q193412,Q7414,P127-P1830
Q193326,Q247489,P361-P527
Q193412,Q38076,P31-P5869
Q193412,Q38076,P361-P527
Q193326,Q38076,P361-P527
Q193326,Q38076,P361-P527
Q193326,Q38076,P31-P5869
Q193412,Q194360,P127-P1830
Q193326,Q941127,P361-P527
Q193412,Q334204,P361-P527
Q193326,Q459965,P361-P527
Q193412,Q37156,P127-P1830
Q193326,Q334204,P361-P527
Q193326,Q744149,P127-P1830
Q193326,Q37156,P361-P527
Q193326,Q37156,P127-P1830
Q193326,Q37156,P463-P527
Q193412,Q37156,P463-P527
Q193412,Q744149,P127-P1830
Q193412,Q3511885,P361-P527
Q193326,Q173395,P361-P527
Q193412,Q3295867,P127-P1830
Q193412,Q173395,P361-P527
Q193326,Q319642,P361-P527
Q193326,Q2103926,P361-P527
Q193412,Q212405,P127-P1830
Q193326,Q3295867,P361-P527
Q193326,Q3295867,P127-P1830
Q193326,Q212405,P361-P527
Q193326,Q212405,P127-P1830
Q193326,Q333718,P361-P527
Q193326,Q333718,P127-P1830
Q193326,Q864407,P361-P527
Q193412,Q156238,P127-P1830
Q193412,Q715583,P361-P527
Q193412,Q333718,P127-P1830
Q193412,Q907311,P127-P1830
Q193326,Q483551,P361-P527
Q193326,Q907311,P127-P1830
Q193326,Q156238,P127-P1830
Q193326,Q328840,P361-P527
Q193326,Q192314,P127-P1830
Q193326,Q192314,P361-P527
Q193326,Q192314,P1830-P127
Q193412,Q192314,P127-P1830
Q193412,Q19900,P127-P1830
Q193412,Q555925,P361-P527
Q193326,Q20800404,P127-P1830
Q193412,Q20800404,P361-P527
Q193412,Q20800404,P127-P1830
Q193326,Q19900,P127-P1830
Q193412,Q478214,P361-P527
Q193412,Q380,P361-P527
Q193412,Q380,P361-P527
Q193412,Q380,P361-P527
Q193412,Q3884,P361-P527
Q193412,Q3884,P127-P1830
Q193326,Q312,P361-P527
Q193326,Q312,P3320-P108
Q193412,Q2283,P361-P527
Q193412,Q2283,P361-P527
Q193412,Q2283,P127-P1830
Q193326,Q312,P127-P1830
Q193326,Q312,P31-P5869
Q193412,Q312,P361-P527
Q193412,Q312,P127-P1830
Q193412,Q312,P31-P5869
Q193326,Q3884,P127-P1830
Q193326,Q2283,P361-P527
Q193326,Q2283,P361-P527
Q193412,Q182477,P361-P527
Q193412,Q182477,P127-P1830
Q193326,Q182477,P127-P1830
Q193326,Q380,P361-P527
Q193326,Q380,P361-P527
Q193326,Q2283,P127-P1830
Q194360,Q483915,P361-P527
Q194360,Q898208,P361-P527
Q194360,Q1159256,P127-P1830
Q194360,Q338825,P361-P527
Q194360,Q663596,P127-P1830
Q194360,Q470517,P361-P527
Q194360,Q467752,P361-P527
Q194360,Q467752,P127-P1830
Q194360,Q66,P361-P527
Q194360,Q248,P361-P527
Q194360,Q248,P127-P1830
Q194360,Q219508,P127-P1830
Q194360,Q219635,P127-P127
Q194360,Q219635,P127-P127
Q194360,Q7414,P361-P527
Q194360,Q7414,P361-P527
Q194360,Q7414,P127-P1830
Q194360,Q247489,P361-P527
Q194360,Q334800,P127-P1830
Q194360,Q334204,P361-P527
Q194360,Q193326,P361-P527
Q194360,Q38076,P361-P527
Q194360,Q38076,P361-P527
Q194360,Q38076,P31-P5869
Q194360,Q941127,P361-P527
Q194360,Q459965,P361-P527
Q194360,Q744149,P127-P1830
Q194360,Q744149,P127-P1830
Q194360,Q37156,P361-P527
Q194360,Q37156,P127-P1830
Q194360,Q37156,P127-P1830
Q194360,Q37156,P463-P527
Q194360,Q173395,P361-P527
Q194360,Q319642,P361-P527
Q194360,Q3295867,P361-P527
Q194360,Q3295867,P127-P1830
Q194360,Q3295867,P127-P1830
Q194360,Q864407,P361-P527
Q194360,Q2103926,P361-P527
Q194360,Q212405,P361-P527
Q194360,Q212405,P127-P1830
Q194360,Q333718,P361-P527
Q194360,Q333718,P127-P1830
Q194360,Q156238,P127-P1830
Q194360,Q328840,P361-P527
Q194360,Q907311,P127-P1830
Q194360,Q19900,P127-P1830
Q194360,Q192314,P361-P527
Q194360,Q192314,P127-P1830
Q194360,Q483551,P361-P527
Q194360,Q217583,P127-P127
Q194360,Q20800404,P127-P1830
Q194360,Q3884,P127-P1830
Q194360,Q312,P361-P527
Q194360,Q312,P127-P1830
Q194360,Q312,P31-P5869
Q194360,Q380,P361-P527
Q194360,Q380,P361-P527
Q194360,Q2283,P361-P527
Q194360,Q2283,P361-P527
Q194360,Q2283,P127-P1830
Q194360,Q182477,P127-P1830
Q212405,Q483915,P361-P527
Q206921,Q483915,P361-P527
Q212405,Q898208,P361-P527
Q206921,Q898208,P361-P527
Q206921,Q11463,P3320-P1416
Q212405,Q1159256,P127-P1830
Q212405,Q663596,P127-P1830
Q206921,Q1159256,P127-P1830
Q206921,Q663596,P127-P1830
Q206921,Q338825,P361-P527
Q212405,Q338825,P361-P527
Q206921,Q470517,P361-P527
Q212405,Q470517,P361-P527
Q212405,Q66,P361-P527
Q206921,Q66,P361-P527
Q206921,Q467752,P361-P527
Q206921,Q467752,P127-P1830
Q212405,Q66,P3320-P108
Q212405,Q467752,P361-P527
Q212405,Q467752,P127-P1830
Q206921,Q248,P361-P527
Q206921,Q248,P127-P1830
Q212405,Q248,P361-P527
Q212405,Q248,P127-P1830
Q206921,Q219508,P127-P1830
Q212405,Q219508,P127-P1830
Q206921,Q219635,P127-P127
Q206921,Q219635,P127-P127
Q212405,Q219635,P127-P127
Q212405,Q219635,P127-P127
Q206921,Q7414,P361-P527
Q206921,Q7414,P361-P527
Q206921,Q7414,P127-P1830
Q212405,Q334800,P127-P1830
Q212405,Q7414,P361-P527
Q212405,Q7414,P361-P527
Q212405,Q7414,P127-P1830
Q212405,Q7414,P3320-P108
Q212405,Q7414,P3320-P108
Q206921,Q334800,P127-P1830
Q206921,Q247489,P361-P527
Q206921,Q38076,P361-P527
Q206921,Q38076,P361-P527
Q206921,Q38076,P31-P5869
Q212405,Q247489,P361-P527
Q212405,Q38076,P361-P527
Q212405,Q38076,P361-P527
Q212405,Q38076,P31-P5869
Q206921,Q194360,P361-P527
Q206921,Q194360,P127-P1830
Q212405,Q38076,P3320-P108
Q212405,Q194360,P361-P527
Q212405,Q194360,P127-P1830
Q212405,Q941127,P361-P527
Q206921,Q941127,P361-P527
Q206921,Q193326,P361-P527
Q212405,Q459965,P361-P527
Q212405,Q193326,P3320-P463
Q206921,Q459965,P361-P527
Q206921,Q744149,P127-P1830
Q212405,Q334204,P361-P527
Q206921,Q334204,P361-P527
Q206921,Q3295867,P3320-P108
Q206921,Q3295867,P3320-P1416
Q212405,Q744149,P127-P1830
Q206921,Q173395,P361-P527
Q206921,Q3295867,P361-P527
Q206921,Q3295867,P127-P1830
Q212405,Q193326,P361-P527
Q212405,Q319642,P3320-P108
Q212405,Q173395,P361-P527
Q206921,Q319642,P361-P527
Q212405,Q3295867,P361-P527
Q212405,Q3295867,P127-P1830
Q212405,Q319642,P361-P527
Q212405,Q37156,P361-P527
Q212405,Q37156,P127-P1830
Q206921,Q2103926,P361-P527
Q206921,Q37156,P361-P527
Q206921,Q37156,P127-P1830
Q206921,Q212405,P361-P527
Q206921,Q212405,P127-P1830
Q212405,Q2103926,P361-P527
Q212405,Q864407,P361-P527
Q212405,Q333718,P127-P1830
Q212405,Q333718,P361-P527
Q206921,Q333718,P361-P527
Q206921,Q333718,P127-P1830
Q206921,Q864407,P361-P527
Q206921,Q156238,P127-P1830
Q206921,Q328840,P361-P527
Q212405,Q156238,P127-P1830
Q212405,Q328840,P361-P527
Q206921,Q907311,P127-P1830
Q206921,Q192314,P127-P1830
Q212405,Q907311,P127-P1830
Q206921,Q192314,P361-P527
Q206921,Q19900,P127-P1830
Q212405,Q192314,P361-P527
Q212405,Q192314,P127-P1830
Q212405,Q483551,P361-P527
Q212405,Q483551,P3320-P108
Q206921,Q483551,P361-P527
Q212405,Q19900,P127-P1830
Q212405,Q20800404,P127-P1830
Q212405,Q3884,P127-P1830
Q206921,Q380,P361-P527
Q206921,Q380,P361-P527
Q206921,Q20800404,P127-P1830
Q212405,Q380,P361-P527
Q212405,Q380,P361-P527
Q206921,Q2283,P127-P1830
Q206921,Q2283,P361-P527
Q206921,Q2283,P361-P527
Q206921,Q3884,P127-P1830
Q206921,Q312,P127-P1830
Q206921,Q312,P31-P5869
Q206921,Q312,P361-P527
Q212405,Q2283,P127-P1830
Q212405,Q182477,P127-P1830
Q212405,Q2283,P361-P527
Q212405,Q2283,P361-P527
Q212405,Q312,P127-P1830
Q212405,Q312,P31-P5869
Q206921,Q182477,P127-P1830
Q212405,Q312,P361-P527
Q217583,Q214763,P1830-P807
Q214763,Q663596,P127-P1830
Q214763,Q1159256,P127-P1830
Q214763,Q338825,P361-P527
Q219508,Q663596,P127-P1830
Q219508,Q1159256,P127-P1830
Q217583,Q338825,P361-P527
Q219508,Q467752,P127-P1830
Q214763,Q467752,P127-P1830
Q219508,Q248,P127-P1830
Q214763,Q248,P127-P1830
Q214763,Q219635,P127-P127
Q214763,Q219635,P127-P127
Q219508,Q219635,P127-P127
Q217583,Q219635,P1830-P127
Q217583,Q219635,P1830-P127
Q217583,Q219635,P1830-P127
Q217583,Q219635,P1830-P127
Q217583,Q7414,P361-P527
Q214763,Q219508,P127-P1830
Q214763,Q7414,P361-P527
Q214763,Q7414,P127-P1830
Q219508,Q334800,P127-P1830
Q219508,Q7414,P127-P1830
Q217583,Q38076,P361-P527
Q217583,Q38076,P31-P5869
Q214763,Q334800,P127-P1830
Q214763,Q38076,P361-P527
Q214763,Q38076,P31-P5869
Q217583,Q194360,P1830-P1830
Q214763,Q194360,P127-P1830
Q219508,Q194360,P127-P1830
Q219508,Q38076,P31-P5869
Q217583,Q334204,P361-P527
Q217583,Q194360,P3320-P108
Q214763,Q334204,P361-P527
Q217583,Q744149,P1830-P1830
Q214763,Q744149,P127-P1830
Q214763,Q37156,P127-P1830
Q219508,Q744149,P127-P1830
Q217583,Q37156,P1830-P1830
Q214763,Q3295867,P127-P1830
Q219508,Q37156,P127-P1830
Q217583,Q3295867,P1830-P1830
Q219508,Q3295867,P127-P1830
Q219508,Q212405,P127-P1830
Q214763,Q212405,P127-P1830
Q214763,Q333718,P127-P1830
Q214763,Q156238,P127-P1830
Q219508,Q907311,P127-P1830
Q219508,Q192314,P127-P1830
Q214763,Q907311,P127-P1830
Q219508,Q333718,P127-P1830
Q219508,Q156238,P127-P1830
Q219508,Q19900,P127-P1830
Q214763,Q192314,P127-P1830
Q214763,Q19900,P127-P1830
Q214763,Q20800404,P127-P1830
Q219508,Q20800404,P127-P1830
Q214763,Q3884,P127-P1830
Q217583,Q312,P31-P5869
Q219508,Q312,P127-P1830
Q219508,Q312,P31-P5869
Q214763,Q2283,P361-P527
Q214763,Q2283,P127-P1830
Q214763,Q182477,P127-P1830
Q219508,Q182477,P127-P1830
Q219508,Q3884,P127-P1830
Q217583,Q2283,P127-P1830
Q217583,Q2283,P361-P527
Q214763,Q312,P127-P1830
Q214763,Q312,P31-P5869
Q217583,Q380,P361-P527
Q217583,Q380,P361-P527
Q214763,Q380,P361-P527
Q214763,Q380,P361-P527
Q219508,Q2283,P127-P1830
Q219635,Q1159256,P127-P1830
Q219635,Q338825,P361-P527
Q247489,Q1159256,P127-P1830
Q219635,Q663596,P127-P1830
Q219508,Q338825,P361-P527
Q247489,Q663596,P127-P1830
Q247489,Q338825,P361-P527
Q247489,Q248,P127-P1830
Q247489,Q467752,P127-P1830
Q219635,Q467752,P127-P1830
Q219508,Q248,P3320-P108
Q219635,Q248,P127-P1830
Q219508,Q219635,P127-P127
Q247489,Q219508,P127-P1830
Q247489,Q219635,P127-P127
Q247489,Q219635,P127-P127
Q219635,Q219508,P127-P1830
Q247489,Q334800,P127-P1830
Q247489,Q7414,P127-P1830
Q247489,Q7414,P361-P527
Q219508,Q7414,P361-P527
Q219635,Q334800,P127-P1830
Q219635,Q38076,P361-P527
Q219635,Q38076,P31-P5869
Q219635,Q7414,P127-P1830
Q219635,Q7414,P361-P527
Q247489,Q194360,P127-P1830
Q219508,Q38076,P361-P527
Q247489,Q38076,P361-P527
Q247489,Q38076,P31-P5869
Q219635,Q194360,P127-P1830
Q247489,Q334204,P361-P527
Q247489,Q744149,P127-P1830
Q219635,Q744149,P127-P1830
Q219508,Q334204,P361-P527
Q219508,Q334204,P1830-P155
Q219635,Q334204,P361-P527
Q219635,Q37156,P127-P1830
Q219508,Q37156,P463-P527
Q219635,Q3295867,P127-P1830
Q247489,Q37156,P127-P1830
Q247489,Q37156,P3320-P108
Q247489,Q3295867,P127-P1830
Q219635,Q54173,P1830-P127
Q247489,Q212405,P127-P1830
Q247489,Q54173,P3320-P108
Q219635,Q212405,P127-P1830
Q219635,Q333718,P127-P1830
Q219635,Q156238,P127-P1830
Q247489,Q156238,P127-P1830
Q247489,Q907311,P127-P1830
Q247489,Q333718,P127-P1830
Q219635,Q907311,P127-P1830
Q219635,Q192314,P127-P1830
Q247489,Q19900,P127-P1830
Q247489,Q192314,P127-P1830
Q219635,Q19900,P127-P1830
Q219635,Q20800404,P127-P1830
Q247489,Q20800404,P127-P1830
Q247489,Q312,P127-P1830
Q247489,Q312,P31-P5869
Q219635,Q380,P361-P527
Q219635,Q380,P361-P527
Q219508,Q2283,P361-P527
Q247489,Q182477,P127-P1830
Q219635,Q182477,P127-P1830
Q219635,Q312,P127-P1830
Q219635,Q312,P31-P5869
Q219635,Q312,P112-P108
Q319642,Q483915,P361-P527
Q247489,Q2283,P361-P527
Q247489,Q2283,P127-P1830
Q247489,Q380,P361-P527
Q247489,Q380,P361-P527
Q247489,Q3884,P127-P1830
Q219635,Q2283,P361-P527
Q219635,Q2283,P127-P1830
Q219508,Q380,P361-P527
Q219508,Q380,P361-P527
Q219635,Q3884,P127-P1830
Q319642,Q7240,P3320-P108
Q319642,Q7240,P3320-P1416
Q319642,Q898208,P361-P527
Q319642,Q338825,P361-P527
Q306764,Q338825,P361-P527
Q319642,Q467752,P361-P527
Q319642,Q470517,P361-P527
Q319642,Q66,P361-P527
Q319642,Q248,P361-P527
Q306764,Q219635,P156-P127
Q306764,Q7414,P361-P527
Q319642,Q247489,P361-P527
Q319642,Q7414,P361-P527
Q319642,Q7414,P361-P527
Q306764,Q38076,P31-P5869
Q306764,Q38076,P361-P527
Q319642,Q38076,P361-P527
Q319642,Q38076,P361-P527
Q319642,Q194360,P361-P527
Q319642,Q941127,P361-P527
Q319642,Q193326,P361-P527
Q319642,Q193326,P3320-P108
Q306764,Q334204,P361-P527
Q319642,Q334204,P361-P527
Q319642,Q459965,P361-P527
Q319642,Q459965,P3320-P108
Q319642,Q173395,P361-P527
Q319642,Q37156,P361-P527
Q319642,Q2103926,P361-P527
Q319642,Q3295867,P361-P527
Q319642,Q212405,P361-P527
Q306764,Q14662364,P156-P156
Q319642,Q333718,P361-P527
Q319642,Q328840,P361-P527
Q319642,Q864407,P361-P527
Q319642,Q483551,P361-P527
Q319642,Q192314,P361-P527
Q306764,Q380,P361-P527
Q306764,Q380,P361-P527
Q306764,Q312,P31-P5869
Q319642,Q312,P361-P527
Q319642,Q380,P361-P527
Q319642,Q380,P361-P527
Q306764,Q2283,P361-P527
Q319642,Q2283,P361-P527
Q319642,Q2283,P361-P527
Q328840,Q483915,P361-P527
Q333718,Q483915,P361-P527
Q333718,Q7240,P3320-P108
Q333718,Q7240,P3320-P1416
Q328840,Q898208,P361-P527
Q333718,Q898208,P361-P527
Q333718,Q898208,P3320-P108
Q333718,Q898208,P3320-P1416
Q328840,Q1159256,P127-P1830
Q333718,Q1159256,P127-P1830
Q328840,Q663596,P127-P1830
Q333718,Q663596,P127-P1830
Q333718,Q338825,P361-P527
Q328840,Q338825,P361-P527
Q328840,Q470517,P361-P527
Q328840,Q66,P361-P527
Q328840,Q467752,P361-P527
Q333718,Q470517,P361-P527
Q333718,Q66,P361-P527
Q333718,Q467752,P361-P527
Q333718,Q467752,P127-P1830
Q328840,Q467752,P127-P1830
